x; y
1990; 65.8407108899298
1991; 63.0088504752721
1992; 58.90266032786896
1993; 52.38938202231716
1994; 53.23893949855355
1995; 51.11504580796256
1996; 47.433634398677626
1997; 47.71681590301698
1998; 49.132749351150416
1999; 45.45132497864715
2000; 41.62831633558337
2001; 37.38052895440139
2002; 38.513280898195475
2003; 43.610625755613846
2004; 39.36283837443187
2005; 38.37168366441663
2006; 40.63717458878646
2007; 40.63717458878646
2007; 39.36283837443187
2009; 36.389387207604486
2010; 35.25663526381041
2011; 37.94690492629843
2012; 34.83185652569221
2013; 36.67256871194384
2014; 40.212395850668265
2015; 40.63717458878646
2016; 39.36283837443187
2017; 38.513280898195475
2018; 35.11505099324989
2019; 35.25663526381041
2020; 30.867263612067916
2021; 29.45133016393448
2022; 29.734511668273836
