Year,Canton,Percentage
2007,Aargau,0.04045559220763054
2008,Aargau,0.04779642021294129
2009,Aargau,0.05604818275444124
2010,Aargau,0.0662913185615692
2011,Aargau,0.07362663117258701
2012,Aargau,0.10130227305057786
2013,Aargau,0.119461704714305
2014,Aargau,0.15916382075959848
2015,Aargau,0.2174689147974744
2016,Aargau,0.2868360518191709
2017,Aargau,0.3662583051545412
2018,Aargau,0.44336002588053247
2019,Aargau,0.6212854793296434
2020,Aargau,0.8780295805137986
2021,Aargau,1.3575718444386309
2022,Aargau,2.0008087789276328
2007,Appenzell-Ausserrhoden,0.04631647776809067
2008,Appenzell-Ausserrhoden,0.045064150143144945
2009,Appenzell-Ausserrhoden,0.03593152477991941
2010,Appenzell-Ausserrhoden,0.0425396150164841
2011,Appenzell-Ausserrhoden,0.062279427029271334
2012,Appenzell-Ausserrhoden,0.11889704022261573
2013,Appenzell-Ausserrhoden,0.15623837512089875
2014,Appenzell-Ausserrhoden,0.17508876027430573
2015,Appenzell-Ausserrhoden,0.2312441890957637
2016,Appenzell-Ausserrhoden,0.3047994185364939
2017,Appenzell-Ausserrhoden,0.39881967817787817
2018,Appenzell-Ausserrhoden,0.4643502527620834
2019,Appenzell-Ausserrhoden,0.6220379146919431
2020,Appenzell-Ausserrhoden,0.8117066131541567
2021,Appenzell-Ausserrhoden,1.1906877554647235
2022,Appenzell-Ausserrhoden,1.7313127267062776
2007,Appenzell-Innerrhoden,0.05417607223476298
2008,Appenzell-Innerrhoden,0.03566333808844508
2009,Appenzell-Innerrhoden,0.04200621692010417
2010,Appenzell-Innerrhoden,0.0501336898395722
2011,Appenzell-Innerrhoden,0.040666937779585195
2012,Appenzell-Innerrhoden,0.06383148487991702
2013,Appenzell-Innerrhoden,0.12567748016652266
2014,Appenzell-Innerrhoden,0.16218721037998146
2015,Appenzell-Innerrhoden,0.23918080574033934
2016,Appenzell-Innerrhoden,0.32072308477294265
2017,Appenzell-Innerrhoden,0.45070825583059093
2018,Appenzell-Innerrhoden,0.5002466004368351
2019,Appenzell-Innerrhoden,0.6106022758812101
2020,Appenzell-Innerrhoden,0.8247563219957739
2021,Appenzell-Innerrhoden,1.1668534511174105
2022,Appenzell-Innerrhoden,1.8632725364125444
2007,Basel-Landschaft,0.0775022143489814
2008,Basel-Landschaft,0.07889771882682522
2009,Basel-Landschaft,0.08512310110005239
2010,Basel-Landschaft,0.10245959320163711
2011,Basel-Landschaft,0.10982001719404309
2012,Basel-Landschaft,0.13966862933041216
2013,Basel-Landschaft,0.15653207816786566
2014,Basel-Landschaft,0.1936291166413169
2015,Basel-Landschaft,0.2532833520851885
2016,Basel-Landschaft,0.32963156037891833
2017,Basel-Landschaft,0.39917663305453505
2018,Basel-Landschaft,0.5151389893562054
2019,Basel-Landschaft,0.7381415838541133
2020,Basel-Landschaft,0.9808724815265648
2021,Basel-Landschaft,1.474446087142651
2022,Basel-Landschaft,2.1988078454651134
2007,Basel-Stadt,0.14194894690866738
2008,Basel-Stadt,0.1461462900404897
2009,Basel-Stadt,0.13997249236237053
2010,Basel-Stadt,0.14844019047845242
2011,Basel-Stadt,0.15404696668587353
2012,Basel-Stadt,0.16583170980610445
2013,Basel-Stadt,0.1880643390297749
2014,Basel-Stadt,0.2174039411730512
2015,Basel-Stadt,0.26059090749022784
2016,Basel-Stadt,0.31052288797915895
2017,Basel-Stadt,0.380894870693159
2018,Basel-Stadt,0.4831591173054588
2019,Basel-Stadt,0.7010953886354887
2020,Basel-Stadt,1.0208161825238151
2021,Basel-Stadt,1.5069339958244399
2022,Basel-Stadt,2.104037541016383
2007,Bern,0.14869147040831363
2008,Bern,0.14365454822918988
2009,Bern,0.17224854219101968
2010,Bern,0.2629322237384697
2011,Bern,0.48208162935661264
2012,Bern,0.7413531643140463
2013,Bern,0.9169100826028488
2014,Bern,1.0521044186706918
2015,Bern,1.1500055865690604
2016,Bern,1.1908695468903183
2017,Bern,1.2183727924565897
2018,Bern,1.2688028250781742
2019,Bern,1.4076273545513596
2020,Bern,1.5967310522515297
2021,Bern,2.026907588548985
2022,Bern,2.6488548832228034
2007,Fribourg,0.022864484378657637
2008,Fribourg,0.028421202216853774
2009,Fribourg,0.029512838084566784
2010,Fribourg,0.03479207950746517
2011,Fribourg,0.05031213059661394
2012,Fribourg,0.07225024083413611
2013,Fribourg,0.09128336107179574
2014,Fribourg,0.12072072072072072
2015,Fribourg,0.15642507195113914
2016,Fribourg,0.1974054063332804
2017,Fribourg,0.24497217755852815
2018,Fribourg,0.29344326073820226
2019,Fribourg,0.44574521497410025
2020,Fribourg,0.6812125583538698
2021,Fribourg,1.1614283531149712
2022,Fribourg,1.9417475728155338
2007,Genève,0.03366267226091694
2008,Genève,0.052226276476794356
2009,Genève,0.07384978952809985
2010,Genève,0.0841092586220679
2011,Genève,0.10562631604216823
2012,Genève,0.1427176698713168
2013,Genève,0.16110924563563533
2014,Genève,0.18489776638099736
2015,Genève,0.2171389689401217
2016,Genève,0.26141062340966925
2017,Genève,0.3268264851476985
2018,Genève,0.41704245472439655
2019,Genève,0.5524406875695904
2020,Genève,0.7821617298034433
2021,Genève,1.1805167335222946
2022,Genève,1.6630068900226163
2007,Glarus,0.13427059473975198
2008,Glarus,0.1448991580184061
2009,Glarus,0.1340782122905028
2010,Glarus,0.13416491406193343
2011,Glarus,0.14103377758973276
2012,Glarus,0.17190400880148526
2013,Glarus,0.192294716955671
2014,Glarus,0.23867139589617792
2015,Glarus,0.29623360135421073
2016,Glarus,0.32835436518156064
2017,Glarus,0.3457902417359305
2018,Glarus,0.44820561040589246
2019,Glarus,0.5471275802039294
2020,Glarus,0.6974609972468645
2021,Glarus,1.1072103699702942
2022,Glarus,1.6586893043137965
2007,Graubünden,0.05370163071430732
2008,Graubünden,0.0554740476346888
2009,Graubünden,0.0617384701632876
2010,Graubünden,0.06786829264807791
2011,Graubünden,0.0824707683060644
2012,Graubünden,0.10332982057563606
2013,Graubünden,0.12290487702759283
2014,Graubünden,0.15298758139937074
2015,Graubünden,0.20106360683223307
2016,Graubünden,0.2576188016528925
2017,Graubünden,0.33056903733710397
2018,Graubünden,0.41997229568064476
2019,Graubünden,0.5690503971497564
2020,Graubünden,0.7491443626425036
2021,Graubünden,1.11803496884264
2022,Graubünden,1.6575119796481943
2007,Jura,0.02018937635016454
2008,Jura,0.015954052329291642
2009,Jura,0.01594928128551207
2010,Jura,0.01961130395560001
2011,Jura,0.02682814655833206
2012,Jura,0.07722444059368644
2013,Jura,0.12553073657005723
2014,Jura,0.14536220950558448
2015,Jura,0.14875283446712018
2016,Jura,0.1766311620189477
2017,Jura,0.22154625217590068
2018,Jura,0.2419537328761162
2019,Jura,0.3427547839266953
2020,Jura,0.5652218325445197
2021,Jura,0.9915608274751272
2022,Jura,1.5664578056259166
2007,Luzern,0.050156530171242754
2008,Luzern,0.05047354857771284
2009,Luzern,0.054597607483946674
2010,Luzern,0.07008041430590695
2011,Luzern,0.09673229818212649
2012,Luzern,0.11560433291045169
2013,Luzern,0.13755309954210265
2014,Luzern,0.1761943459593962
2015,Luzern,0.2253400314280793
2016,Luzern,0.30328483988901356
2017,Luzern,0.38163939302772887
2018,Luzern,0.44484344738540993
2019,Luzern,0.5970556342759827
2020,Luzern,0.840292001470511
2021,Luzern,1.2634532881145515
2022,Luzern,1.875993640699523
2007,Neuchâtel,0.06744686280943527
2008,Neuchâtel,0.07502621397837798
2009,Neuchâtel,0.08179848807629732
2010,Neuchâtel,0.08324698672476244
2011,Neuchâtel,0.08593973801401078
2012,Neuchâtel,0.10129297503426087
2013,Neuchâtel,0.10659191244355665
2014,Neuchâtel,0.12397594196585636
2015,Neuchâtel,0.15792824600424998
2016,Neuchâtel,0.18565925392787916
2017,Neuchâtel,0.21237814702101
2018,Neuchâtel,0.25549850687974485
2019,Neuchâtel,0.38143415990956187
2020,Neuchâtel,0.5749357139391587
2021,Neuchâtel,0.9205937869917139
2022,Neuchâtel,1.4762480096656239
2007,Nidwalden,0.04753013070785945
2008,Nidwalden,0.05054930241962661
2009,Nidwalden,0.03565409049656424
2010,Nidwalden,0.044416243654822336
2011,Nidwalden,0.04666936311875797
2012,Nidwalden,0.07034069362040492
2013,Nidwalden,0.08072714225916403
2014,Nidwalden,0.14133443260114245
2015,Nidwalden,0.17983524770855086
2016,Nidwalden,0.265267121138652
2017,Nidwalden,0.37523981491930936
2018,Nidwalden,0.4771471622300351
2019,Nidwalden,0.696081422113758
2020,Nidwalden,1.013623978201635
2021,Nidwalden,1.514505119453925
2022,Nidwalden,2.179497365006223
2007,Obwalden,0.023851168707266657
2008,Obwalden,0.02746390458254865
2009,Obwalden,0.0263524451304446
2010,Obwalden,0.03641925850389686
2011,Obwalden,0.04613364562262678
2012,Obwalden,0.06207324643078833
2013,Obwalden,0.09489916963226572
2014,Obwalden,0.15304764439712537
2015,Obwalden,0.20906833921338036
2016,Obwalden,0.26703558329579824
2017,Obwalden,0.34583412653087126
2018,Obwalden,0.4715066354410617
2019,Obwalden,0.6512747700475338
2020,Obwalden,0.8525408762902293
2021,Obwalden,1.1981428785382657
2022,Obwalden,1.7445668353676689
2007,Sankt Gallen,0.05854343923191007
2008,Sankt Gallen,0.06520609321888911
2009,Sankt Gallen,0.0698372352004832
2010,Sankt Gallen,0.0720683305493378
2011,Sankt Gallen,0.09685460222765585
2012,Sankt Gallen,0.1282440980213354
2013,Sankt Gallen,0.1590086943682528
2014,Sankt Gallen,0.1925059581851354
2015,Sankt Gallen,0.2390115343051849
2016,Sankt Gallen,0.3035441565711739
2017,Sankt Gallen,0.36869727857336726
2018,Sankt Gallen,0.4641537639013388
2019,Sankt Gallen,0.6632940445670427
2020,Sankt Gallen,0.9231589214978565
2021,Sankt Gallen,1.4271034924131742
2022,Sankt Gallen,2.146926992326977
2007,Schaffhausen,0.08574041612681961
2008,Schaffhausen,0.08580648771661475
2009,Schaffhausen,0.10206588920180695
2010,Schaffhausen,0.10112338892055378
2011,Schaffhausen,0.125250501002004
2012,Schaffhausen,0.1645341408342231
2013,Schaffhausen,0.18212432562454897
2014,Schaffhausen,0.22379269729093051
2015,Schaffhausen,0.2652651822869174
2016,Schaffhausen,0.326482639285656
2017,Schaffhausen,0.39660787411730564
2018,Schaffhausen,0.5349301397205588
2019,Schaffhausen,0.698118869742391
2020,Schaffhausen,0.9384872700241591
2021,Schaffhausen,1.3749733532295887
2022,Schaffhausen,2.0399259849863856
2007,Schwyz,0.041798077288444736
2008,Schwyz,0.04544822149051616
2009,Schwyz,0.05218107749347736
2010,Schwyz,0.0637331704596755
2011,Schwyz,0.07924681074655665
2012,Schwyz,0.10893793889419612
2013,Schwyz,0.13016864253878285
2014,Schwyz,0.17982710792852075
2015,Schwyz,0.2462723677667359
2016,Schwyz,0.32287396356687115
2017,Schwyz,0.4107523133236834
2018,Schwyz,0.5270612792604742
2019,Schwyz,0.7507452519940526
2020,Schwyz,1.0680773890167237
2021,Schwyz,1.5117094376665263
2022,Schwyz,2.1952508063619174
2007,Solothurn,0.05316625029298605
2008,Solothurn,0.05778382053025154
2009,Solothurn,0.10104089051457471
2010,Solothurn,0.11455952413736128
2011,Solothurn,0.10103356799775241
2012,Solothurn,0.11503593553766109
2013,Solothurn,0.14191844627892955
2014,Solothurn,0.18432235932619936
2015,Solothurn,0.21882941390020572
2016,Solothurn,0.2577498438630753
2017,Solothurn,0.3238532650297356
2018,Solothurn,0.3867363051135673
2019,Solothurn,0.5721609154574647
2020,Solothurn,0.7862275279037404
2021,Solothurn,1.2049150062863099
2022,Solothurn,1.7924090571640683
2007,Thurgau,0.0638147803987864
2008,Thurgau,0.06682150574718838
2009,Thurgau,0.07300462532801029
2010,Thurgau,0.08562443565712861
2011,Thurgau,0.09555085065402043
2012,Thurgau,0.13489230529488822
2013,Thurgau,0.16845751920130198
2014,Thurgau,0.20571927445644603
2015,Thurgau,0.25923261716364226
2016,Thurgau,0.3178186486067769
2017,Thurgau,0.4030458128740633
2018,Thurgau,0.4702622042208484
2019,Thurgau,0.7258719084207029
2020,Thurgau,0.965856837086923
2021,Thurgau,1.50872535370868
2022,Thurgau,2.1918072366597436
2007,Ticino,0.16469338190649666
2008,Ticino,0.16717581573176904
2009,Ticino,0.1660889926277202
2010,Ticino,0.16580069738100348
2011,Ticino,0.18920735632510946
2012,Ticino,0.18457394471853347
2013,Ticino,0.1883252091644741
2014,Ticino,0.21878371089536136
2015,Ticino,0.26091828649292004
2016,Ticino,0.29539195106056193
2017,Ticino,0.33457018969836555
2018,Ticino,0.3919700000979109
2019,Ticino,0.5100952943299053
2020,Ticino,0.7510464997747518
2021,Ticino,1.2063265999425092
2022,Ticino,1.8074924266165255
2007,Uri,0.035924379181822265
2008,Uri,0.0357254499173849
2009,Uri,0.04249713144362755
2010,Uri,0.04562043795620438
2011,Uri,0.04464829321751837
2012,Uri,0.09497051956788413
2013,Uri,0.12449424214130098
2014,Uri,0.16526384565125485
2015,Uri,0.19247461976827565
2016,Uri,0.2680765507483804
2017,Uri,0.2718689150960726
2018,Uri,0.31963967890741346
2019,Uri,0.40491632923639226
2020,Uri,0.5570931800439998
2021,Uri,0.9067266465171857
2022,Uri,1.3878153327243343
2007,Valais,0.4100215777700627
2008,Valais,0.39970109309559804
2009,Valais,0.39920663996866984
2010,Valais,0.40959673638584343
2011,Valais,0.4248749311822295
2012,Valais,0.4358806762145291
2013,Valais,0.44697493747672
2014,Valais,0.45805000503556603
2015,Valais,0.4900030625191408
2016,Valais,0.5328824876409785
2017,Valais,0.5845907340094668
2018,Valais,0.6290195484685713
2019,Valais,0.7528611450033059
2020,Valais,0.8942402478524151
2021,Valais,1.3285269539570703
2022,Valais,2.1029764606705146
2007,Vaud,0.056797047444466967
2008,Vaud,0.05979695320286061
2009,Vaud,0.06861762056226607
2010,Vaud,0.07210926064259282
2011,Vaud,0.08223146681960314
2012,Vaud,0.11415548594242038
2013,Vaud,0.13590171393902625
2014,Vaud,0.15681925239551842
2015,Vaud,0.19103520004058766
2016,Vaud,0.24011789347810672
2017,Vaud,0.30615758979424246
2018,Vaud,0.3783626772110979
2019,Vaud,0.5742191291881035
2020,Vaud,0.9077367526592267
2021,Vaud,1.4606133668363603
2022,Vaud,2.263736463240834
2007,Zug,0.036497268997457775
2008,Zug,0.04418045260419223
2009,Zug,0.05371093750000001
2010,Zug,0.06420240402335066
2011,Zug,0.1570892289922033
2012,Zug,0.1782511210762332
2013,Zug,0.1849662901672358
2014,Zug,0.24795411252647148
2015,Zug,0.3363205497030031
2016,Zug,0.45120354517071204
2017,Zug,0.5652656061394126
2018,Zug,0.9821311873331218
2019,Zug,1.449501246882793
2020,Zug,1.773433068633012
2021,Zug,2.726714117466332
2022,Zug,3.975157339613098
2007,Zürich,0.06916928742716086
2008,Zürich,0.07578866467251943
2009,Zürich,0.08340004140088139
2010,Zürich,0.10816574900367458
2011,Zürich,0.1308431937287654
2012,Zürich,0.18875755906731825
2013,Zürich,0.2442036526702726
2014,Zürich,0.3095992317965585
2015,Zürich,0.4374282074196383
2016,Zürich,0.5076077227975961
2017,Zürich,0.6118884810805559
2018,Zürich,0.7618764011248844
2019,Zürich,0.9805270332803881
2020,Zürich,1.3324801173893241
2021,Zürich,1.927696409390045
2022,Zürich,2.7467375719921265
